,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
361,nagapattinam,0,IN,1547685691,77,71.12,10.76,79.84,10.0
362,amasya,75,TR,1547684400,86,26.6,40.65,35.83,4.7
363,piracuruca,76,BR,1547685692,93,75.62,-3.93,-41.72,3.18
364,ganzhou,88,CN,1547685692,94,37.32,25.86,114.93,4.18
365,tarauaca,76,BR,1547685683,96,75.57,-8.16,-70.77,2.84
366,stillwater,90,US,1547684580,96,48.02,36.12,-97.06,8.99
367,sabang,36,PH,1547685693,87,77.42,13.72,123.58,10.78
368,dao,92,PH,1547685693,89,72.65,11.39,122.69,5.19
369,robertsport,0,LR,1547685694,98,83.76,6.75,-11.37,12.68
370,piacabucu,92,BR,1547685694,86,77.82,-10.41,-36.43,9.89
371,moose factory,1,CA,1547683200,68,-18.41,51.26,-80.61,11.41
372,comodoro rivadavia,0,AR,1547683200,27,62.6,-45.87,-67.48,8.05
373,hammerfest,0,NO,1547682600,73,21.2,70.66,23.68,13.87
374,kasongo-lunda,92,CD,1547685695,98,67.11,-6.48,16.82,2.39
375,qandala,0,SO,1547685695,100,61.04,11.47,49.87,3.18
376,ola,24,RU,1547685696,100,-12.09,59.58,151.3,16.49
377,lotofaga,40,WS,1547683200,63,91.4,-13.98,-171.86,8.05
378,abonnema,40,NG,1547683200,94,78.8,4.71,6.79,3.4
379,neyshabur,36,IR,1547685697,69,36.87,36.21,58.79,6.64
380,santa cruz,90,US,1547685000,93,59.0,36.97,-122.03,13.87
381,fairbanks,1,US,1547683080,85,-0.58,64.84,-147.72,4.7
